Document Name,Link to Source,Document Type,Judge/Author,Court Type,Country,State,Court,Date (MM/YYYY),Order Type,Case Types,AI Type?,AI Use Case for Filings?,Prohibited?,Disclose AI Use w/ Each Filing?,Disclose AI Tool Used?,Disclose How AI Tool Used?,Identify Sections Drafted with AI?,Disclose Process Used to Check Accuracy,All Parties Certify Accuracy or Non-Use on Notice of Appearance?,All Parties Certify Accuracy or Non-Use w/ each Filing?,"Certify Accuracy, if Planning to Use AI during Case?",Certify No Unauthorized Disclosure,"Certify Accuracy w/ Each Filing, only if AI Used?",Just a Warning to Follow Existing Court and Ethics Rules when using AI?,References Other Procedural Rules?,Maintain AI Prompt Records?,Proprietary / Confidential Info NonDisclosure Req?,Disclose Use of AI-Generated Evidence?,Provide Notice to Opposing Parties of AI-Generated Evidence?,Use of AI to Record in Courtroom?,Applies To,"Other Reqs, Notes"
Dept. C31 Standing Order RE: Artificial Intelligence,https://www.occourts.org/system/files?file=civil/knillprocedures.pdf,Standing Order,Judge Kimberly A. Knill,State,US,California,Orange County Superior Court,01/2024,Judge Level,Civil,Gen AI,Prepare,,Yes,,,,,,,,,checked,,No,,,,,,"Pro Se Litigants,Attorneys",
Civil Procedures/Local Rules: 8. Initial Pretrial and Scheduling Conferences C. Mandatory Certificate Regarding Generative Artificial Intelligence,https://www.txs.uscourts.gov/sites/txs/files/Judge_Olvera_Local_Rules_%28Civil%29_1-18-24_-_Amended.pdf,Pretrial Order,Judge Rolando Olvera,Federal,US,Texas,US DC Southern District of Texas,01/2024,Judge Level,Civil,Gen AI,Draft,,No,,,,,,"Yes, on filing of scheduling order",,,,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",
Rules of Court Integrated Domestic Violence Court,https://www.nycourts.gov/legacyPDFS/COURTS/1jd/supctmanh/Rules/IDV-tandra-dawson.pdf,Standing Order,Judge Tandra L. Dawson ,State,US,New York,"Supreme Court, New York County, Criminal Division",01/2024,Judge Level,"Civil,Criminal",Any AI,Prepare,,Yes,,,,,,,,,checked,,No,,,,,,"Pro Se Litigants,Attorneys","""If AI is used to prepare any document submitted for filing with the court that involves substantive legal research and writing (such as a legal memorandum, summation, etc.),"""
The Generative AI Playbook,https://www.lawsociety.ab.ca/resource-centre/key-resources/professional-conduct/the-generative-ai-playbook/,Policy/Guidelines,Law Society of Alberta,State,Canada,,,01/2024,,,Gen AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,
"""Artificial Intelligence in the Practice of Law
What is AI and can I or should I use it in my practice?""",https://nsbs.org/wp-content/uploads/2023/12/short-guide-on-A.I.pdf,Policy/Guidelines,Nova Scotia Barristers' Society,State,Canada,,,01/2024,,,Gen AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,
Notice – Legal Practice: Preliminary Guidelines on the Use of Artificial Intelligence by New Jersey Lawyers,https://www.njcourts.gov/sites/default/files/notices/2024/01/n240125a.pdf?cb=aac0e368,Policy/Guidelines,Chief Justice Stuart Rabner,State,US,New Jersey,New Jersey Supreme Court,01/2024,State Level,"Civil,Criminal",Any AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,
Rules of Court Integrated Domestic Violence Court,https://www.nycourts.gov/legacyPDFS/COURTS/1jd/supctmanh/Rules/IDV-tandra-dawson.pdf,Standing Order,Judge Tandra L. Dawson,State,US,New York,New York County Integrated Domestic Violence Court,02/2024,Judge Level,"Civil,Criminal",Any AI,Prepare,,Yes,,,,,,No,,,checked,,No,,,,,,"Pro Se Litigants,Attorneys",
Standing Order for Civil Cases Before Judge Rita F. Lin,https://www.cand.uscourts.gov/wp-content/uploads/2023/03/2024-09-18-Civil-Standing-Order.pdf,Standing Order,Judge Rita F. Lin,Federal,US,California,US DC Northern District of California,02/2024,Judge Level,Civil,Gen AI,Research,,No,,,,,,No,,,,checked,No,,,,,,Attorneys,
Courtroom rules 2-23-24,https://www.nycourts.gov/LegacyPDFS/courts/8jd/pdfs/IAS_Rules/JudgeHanlon2025.pdf,Standing Order,Judge Grace M. Hanlon,State,US,New York,"Chautauqua County Supreme Court, 8th Judicial District",02/2024,Judge Level,"Civil,Criminal",Gen AI,Draft,,Yes,,,,,,No,,,checked,,No,,,,,,All Filers,
Part Rules: V. Artificial Intelligence,https://www.nycourts.gov/LegacyPDFS/courts/9jd/PartRules/PR_DSZuckerman.pdf,Standing Order,Judge David S. Zuckerman,State,US,New York,"Supreme Court, Orange County",02/2024,Judge Level,Civil,Any AI,Generate Content,,Yes,,,checked,,,No,,,,,No,,,,,,"Pro Se Litigants,Attorneys",
Guidelines for the Use of Generative Artificial Intelligence in the Practice of Law,https://www.lawsociety.sk.ca/wp-content/uploads/Law-Society-of-Saskatchewan-Generative-Artificial-Intelligence-Guidelines.pdf,Policy/Guidelines,Law Society of Saskatchewan,State,Canada,,,02/2024,,,Gen AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,
"Standing Order for Civil Cases Assigned to Judge Stanley Blumenfeld, Jr.",https://www.cacd.uscourts.gov/sites/default/files/documents/SB/AD/1.%20Civil%20Standing%20Order%20%283.1.24%29%20%5BFinal%5D.pdf,Standing Order,"Judge Stanley Blumenfeld, Jr.",Federal,US,California,US DC Central District of California,03/2024,Judge Level,Civil,Gen AI,Generate Content,,Yes,,,,,,No,,,checked,,FRCP 11,,,,,,Any Parties,
Litigation Preferences: Mandatory Certification Regarding Generative Artificial Intelligence,https://cp.cuyahogacounty.us/court-resources/judges/judge-john-j-russo/,Standing Order,Judge John J. Russo,State,US,Ohio,"Cuyahoga County Common Pleas Court, General Division",03/2024,Judge Level,Civil,Gen AI,Draft,,No,,,,,checked,No,,,,,FRCP 11,,,,,,Attorneys,
Standing Order Regarding Use of Artificial Intelligence,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/1866,Standing Order,Judge Jeff McKnight,State,US,Texas,"30th, 78th, 89th District Courts, Wichita County",03/2024,Court Level,"Civil,Criminal",Any AI,"Draft,Research",,No,,,,,,No,checked,,,,No,,,,,"Recording, Listening, Transcribing Prohibited","Pro Se Litigants,Attorneys",
Order on Artificial Intelligence,https://www.cit.uscourts.gov/sites/cit/files/Order_on_Artificial_Intelligence-Judge_Kelly.pdf,Standing Order,Judge Claire R. Kelly,Federal,US,,US Court of International Trade,03/2024,Judge Level,Civil,Gen AI,Draft,,Yes,checked,,checked,,,No,,checked,,,,,,,,,Any Parties,
Order on Artificial Intelligence,https://www.cit.uscourts.gov/sites/cit/files/JAR_Order_on_Artificial_Intelligence.pdf,Standing Order,Judge Jane A. Restani,Federal,US,,US Court of International Trade,03/2024,Judge Level,Civil,Gen AI,Draft,,Yes,checked,,checked,,,No,,checked,,,,,,,,,Any Parties,
Memorandum of Law Requirements,https://www.ilnd.uscourts.gov/judge-cmp-detail.aspx?cmpid=626,Standing Order,Judge Sharon Johnson Coleman,Federal,US,Illinois,US DC Northern District of Illinois,04/2024,Judge Level,"Civil,Criminal",Any AI,Draft,checked,No,,,,,,No,,,,,No,,,,,,Any Parties,"""Parties may not use Artificial Intelligence to draft their memoranda or as authority to support their motions. """
Chancery - Calendar 9 - Horan - Standing Order (eff. 4.5.24): XIII. Artificial Intelligence,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/SO%202024%20CH%20Judge%20Horan%20Calendar%209%20Calendar%20Courtroom%20Procedures%20%28Apr.%205%202024%29.pdf?VersionId=bD2yzSkzx_owNaYWACofBcjjmOLSuHM7,Standing Order,Judge Cecilia A. Horan,State,US,Illinois,"Circuit Court of Cook County, Chancery Division",04/2024,Judge Level,Civil,LLM AI,Prepare,,Yes,,,,,,No,,,,,No,,,,,,Any Parties,
Licensee use of generative artificial intelligence ,https://lawsocietyontario-dwd0dscmayfwh7bj.a01.azurefd.net/media/lso/media/lawyers/practice-supports-resources/white-paper-on-licensee-use-of-generative-artificial-intelligence-en.pdf,Policy/Guidelines,Law Society of Ontario,State,Canada,,,04/2024,State Level,,Gen AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,
Generative Artificial Intelligence: Guidelines for Use in the Practice of Law,https://educationcentre.lawsociety.mb.ca/wp-content/uploads/sites/2/2024/04/Generative-Artificial-Intelligence-Guidelines-for-Use-in-the-Practice-of-Law.pdf,Policy/Guidelines,Law Society of Manitoba,State,Canada,,,04/2024,,,Gen AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,
Law and Motion Schedule: 14. Artificial Intelligence,https://www.cacd.uscourts.gov/honorable-rozella-oliver,Standing Order,Judge Rozella A. Oliver,Federal,US,California,US DC Central District of California,05/2024,Judge Level,"Criminal,Civil",Gen AI,Generate Content,,Yes,,,,,,No,,,checked,,FRCP 11,,,,,,Any Parties,
Amended and Restated Standing Order,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/Chancery%20-%20Calendar%2064%20-%20Judge%20Wright%20-%20Amended%20Standing%20Order%20%28May%2031%202024%29_0.pdf?VersionId=8PBF.tc2_f6Vfc.eitTlZ_LoTUqjIS4v,Standing Order,Judge James A. Wright,State,US,Illinois,"Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section",05/2024,Judge Level,Civil,Any AI,"Create,Analyze",,Yes,,,,,,No,,,,,No,,,,,,Any Parties,
Law - Judge Ramos - Standing Order,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/Law%20-%20Judge%20Ramos%20-%20Standing%20Order%20%28May%2030%2C%202024%29.pdf?VersionId=g6dVsvmsqmjK.QRGq5YLirA6QeNTNigI,Standing Order,Judge Sandra Gisela Ramos,State,US,Illinois,"Circuit Court of Cook County, Law Division",05/2024,Judge Level,Civil,Any AI,Create,,Yes,,,,,,No,,,checked,,No,,,,,,Any Parties,
In Re: Use of Artificial Intelligence,https://www.ncwd.uscourts.gov/sites/default/files/Standing%20Order%20In%20Re-%20Use%20of%20Artificial%20Intelligence2.pdf,Standing Order,"Chief Judge Martin Reidinger; Judge Frank D. Whitney; Judge Max O. Cogburn, Jr.; Judge Kenneth D. Bell; Judge Robert J. Conrad Jr.; Judge Graham C. Mullen; Judge Richard L. Voorhees",Federal,US,North Carolina,US DC Western District of North Carolina,06/2024,Court Level,"Civil,Criminal","Any AI, excluding standard research tools",Research,checked,No,,,,,,Yes,,,,,No,,,,,,"Pro Se Litigants,Attorneys","AI Legal Research Tool Exceptions limited to Westlaw, Lexis, FastCase, and Bloomberg"
Judicial Policies and Procedures: G. Standing Orders 3. Artificial Intellgience,https://www.paed.uscourts.gov/sites/paed/files/documents/procedures/hodpol.pdf,Standing Order,Judge Kelley B. Hodge,Federal,US,Pennsylvania,US DC Eastern District of Pennsylvania,06/2024,Judge Level,"Civil,Criminal",Gen AI,Use,,No,,,,,,No,,,,checked,"FRCP 11,FRCP 26(g)",,,,,,Any Parties,"Notes that the order also applies to the serving/delivering of a request, response, or objection to discovery"
Administrative Order In Re: Generative Artificial Intelligence And Its Use In The Superior Court Of Cabarrus County,https://www.nccourts.gov/documents/local-rules-and-forms/administrative-order-in-re-generative-artificial-intelligence-and-its-use-in-the-superior-court-of-cabarrus-county,Administrative Order,Judge Martin B. McGee,State,US,North Carolina,Superior Court of Cabarrus County (District 25),07/2024,Court Level,"Civil,Criminal",Gen AI,"Draft,Research",,No,,,,,,No,,,,checked,"RPC 1.1 cmt. 8,RPC 1.6,FRCP 11,FRCP 26(g)",,,,checked,,"Pro Se Litigants,Attorneys",Must disclose use of AI-Generated evidence  before trial
Haikala Chambers Initial Order: XI. Use of AI to Create Court Submissions,https://www.alnd.uscourts.gov/sites/alnd/files/MHH%20Initial%20Order%20as%20of%207-8-24.pdf,Standing Order,Judge Madeline H. Haikala,Federal,US,Alabama,US DC Northern District of Alabama,07/2024,Judge Level,Civil,Gen AI,Prepare,,No,,,,,,No,,,,checked,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",
Standing Order Regarding Use of Artificial Intelligence,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/2014,Standing Order,Judge Chris Porter,State,US,Texas,Gray County Court,07/2024,Court Level,"Civil,Criminal",Gen AI,"Research,Draft",,No,,,,,,,checked,,,,,,,,,,"Pro Se Litigants,Attorneys",
Standing Order Regarding Use of Artificial Intelligence,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/1997,Standing Order,Judge Joanna E. MacKenzie,State,US,Texas,Hudspeth County Court,07/2024,Court Level,"Civil,Criminal",Gen AI,"Research,Draft",,No,,,,,,No,checked,,,,,,,,,,"Pro Se Litigants,Attorneys",
Local Rule 49 - Use of Artificial Intelligence in Court Submissions,https://hamiltoncountycourts.org/wp-content/uploads/2024/07/Local-Rule-49-AI.pdf,Local Rules,-,State,US,Illinois,Hamilton County Court,07/2024,Court Level,"Civil,Criminal",Any AI,"Create,Edit",,Yes,checked,checked,,,,,,,checked,,No,,,,,,"Any Parties,Attorneys",
Use of Generative AI,https://www.pamd.uscourts.gov/content/judge-karoline-mehalchick,Standing Order,Judge Karoline Mehalchick,Federal,US,Pennsylvania,US DC Middle District of Pennsylvania,08/2024,Judge Level,"Civil,Criminal",Gen AI,Prepare,,Yes,checked,,checked,,,No,,,,,No,,,,,,Any Parties,
Standing Order for Civil Cases Before Judge Eumi K. Lee: G. Use of Generative AI Tools,https://www.cand.uscourts.gov/wp-content/uploads/judges/lee-ekl/Civil-Standing-Order-8.16.2024-Website-Hyperlink-Corrected-2.pdf,Standing Order,Judge Eumi K. Lee,Federal,US,California,US DC Northern District of California,08/2024,Judge Level,Civil,Gen AI,Generate Content,,Yes,,,,,,No,,,checked,,No,checked,,,,,Attorneys,
Standing Order for Courtroom 2039,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/Law%20-%20Courtroom%202309%20-%20Golden%20-%20Standing%20Order%20%28Aug%2012%2C%202024%29.pdf?VersionId=9sZ6uAI7IMiGGQPofIDu6mSR_YgtJmYr,Standing Order,Judge Jean M. Golden,State,US,Illinois,"Circuit Court of Cook County, Law Division, Trial Section",08/2024,Judge Level,Civil,Any AI,Create,,Yes,,,,,,No,,,checked,,No,,,,,,Any Parties,
Standing Order & Chambers Practices: VII. Format of Documents & Artificial Intelligence (AI),https://www.nvd.uscourts.gov/wp-content/uploads/2024/08/MDC-Final-Standing-Order-080724-v5-1.pdf,Standing Order,Magistrate Judge Maximiliano D. Couvillier III ,Federal,US,Nevada,US DC District of Nevada,08/2024,Judge Level,Civil,Any AI,"Draft,Create",,Yes,,,,,,No,,,,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",
Standing Order No.3: Use Artificial Intelligence for Any Court Filing,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/2030,Standing Order,-,State,US,Texas,"County Courts at Law, Collin County",08/2024,Court Level,"Civil,Criminal",Any AI,Prepare,,Yes,,,,,,No,,,checked,,No,,,,,,"Pro Se Litigants,Attorneys",
"In Re: Amendments to Rules Regulating the Florida Bar - Chapter 4: Rules 4-1.1, 4-1.6, 4-5.1, and 4-5.3",https://supremecourt.flcourts.gov/content/download/2439771/opinion/Opinion_SC2024-0032.pdf,Local Rule Amendment,-,State,US,Florida,Supreme Court of Florida,08/2024,State Level,"Civil,Criminal",Gen AI,Use,,No,,,,,,No,,,,checked,No,,,,,,Attorneys,"Amended Comments to Florida Bar rules 4-1.1, 4-1.6, 4-5.1, and 4-5.3, adding a warning
about the necessity to take care in using generative artificial
intelligence"
Amended and Restated Standing Order: XII. Motions (i),https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/2024-09-03%20Standing%20Order%20-%20Calendar%2060.pdf?VersionId=YRDoJGoI.2Z31xJ_wHTxT7mAn75Dy.NG,Standing Order,Judge William B. Sullivan,State,US,Illinois,"Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section",09/2024,Judge Level,Civil,Any AI,"Create,Analyze",,Yes,,,,,,No,,,,,No,,,,,,Any Parties,
Standing Order for Civil Cases: D. Use of Generative Artificial Intelligence,https://www.casd.uscourts.gov/judges/robinson/docs/Civil%20Standing%20Order.pdf,Standing Order,Judge Todd W. Robinson,Federal,US,California,US DC Southern District of California,09/2024,Judge Level,Civil,Gen AI,Create,,No,,,,,,No,,,,checked,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",
Civil Standing Order: VIII. Motions - General Requirements h. Artificial Intelligence,https://www.cacd.uscourts.gov/sites/default/files/documents/FWS/AD/Civil%20Standing%20Order%20UPDATED%2009-23-2024.pdf,Standing Order,Judge Fred W. Slaughter,Federal,US,California,US DC Central District of California,09/2024,Judge Level,Civil,Gen AI,Generate Content,,Yes,,,,,,No,,,checked,,FRCP 11,,,,,,Any Parties,
Local Civil Rules LR 7.2(f) Disclosure of Use of Generative Artificial Intelligence,https://www.txnd.uscourts.gov/sites/default/files/documents/CIVRULES.pdf,Local Rules,-,Federal,US,Texas,US DC of Northern District of Texas,09/2024,Court Level,Civil,Gen AI,Prepare,,Yes,,,checked,,,No,,,,,,,,,,,Any Parties,"""A party who files a brief that does not contain the disclosure required by subsection (f)(1) of this rule certifies that no part of the brief was prepared
using generative artificial intelligence."""
Local Criminal Rules LCrR 47.2(e) Disclosure of Use of Generative Artificial Intelligence,https://www.txnd.uscourts.gov/sites/default/files/documents/CRIMRULES.pdf,Local Rules,-,Federal,US,Texas,US DC of Northern District of Texas,09/2024,Court Level,Criminal,Gen AI,Prepare,,Yes,,,checked,,,No,,,,,,,,,,,Any Parties,"""A party who files a brief that does not contain the disclosure required by subsection (f)(1) of this rule certifies that no part of the brief was prepared
using generative artificial intelligence."""
Rule 9011-1 Signing of Papers,https://www.nysb.uscourts.gov/sites/default/files/2024-09-30_Amended_LBRs_Final.pdf,Local Rules,-,Federal,US,New York,US Bankruptcy Court Souther District of New York,09/2024,Court Level,Bankruptcy,Technology,Generate Content,,No,,,,,,No,,,,checked,FRBP 9011,,,,,,Any Parties,"Court references ""technology (e.g., ChatGPT, Google Bard, Bing AI Chat, or
generative artificial intelligence services)"""
Initial Procedural Order: 8. Use of Generative Artificial Intelligence,https://drive.google.com/file/d/18Ng--k7X5WwSjW9TnmG3EZIQMhdusydy/view?usp=sharing,Pretrial Order,"Judge Joseph F. Leeson, Jr.",Federal,US,Pennsylvania,US DC Eastern District of Pennsylvania,09/2024,Case Level,Civil,Gen AI,Prepare,,Yes,checked,,checked,,,No,,,checked,,,,,,,,"Attorneys,Pro Se Litigants",
Local Rules of the Texas Business Court,https://www.txcourts.gov/media/1459346/local-rules-of-the-business-court-of-texas.pdf,Local Rules,Judge Andrea K. Bouressa; Judge Bill Whitehill; Judge Melissa Andrews; Judge Patrick K. Sweeten; Judge Marialyn Barnard; Judge Stacy Sharp; Judge Jerry D. Bullard; Judge Brian Stagner; Judge Sofia Adrogué; Judge Grant Dorfman,State,US,Texas,Texas Business Court,09/2024,Court Level,Civil,Any AI,Use,,No,,,,,,,,,,checked,,,,,,,"Attorneys,Any Parties",
Matter of Weber,https://law.justia.com/cases/new-york/other-courts/2024/2024-ny-slip-op-24258.html,Court Opinion,Judge Jonathan G. Schopf,State,US,New York,"Surrogate's Court, Saratoga County",10/2024,Court Level,Probate,Any AI,Generate Content,,No,,,,,,No,,,,,No,,,checked,,,Attorneys,All AI-Generated evidence must be subject to a Frye hearing prior to admission
American Immigration Council v. U.S. Department of State: Order,https://www.ropesgray.com/-/media/ropes-post-pilot/microsites/ai/pdfs/2024/oct/american-immigration-council-v-us-department-of-state.pdf?rev=6f91efcdf9924ed695145d7d23be0ba5&hash=A48D72EC2901E92486EDF9EE9A13649E,Pretrial Order,"Judge Rossie D. Alston, Jr.",Federal,US,Virginia,"US DC Eastern District of Virginia, Alexandria Division",10/2024,Case Level,Civil,Any AI,Use,,Yes,,,,,,No,,,checked,,No,,,,,,Any Parties,
L’intelligence artificielle générative – Guide pratique pour une utilisation responsible,https://www.barreau.qc.ca/media/bnddaqfd/guide-intelligence-artificielle-generative.pdf,Policy/Guidelines,Le Barreau du Québec,State,Canada,,,10/2024,,,Gen AI,,,,,,,,,,,,,checked,,,,,,,Attorneys,
"In Re Procedure Regulating Photography, Recording, and Broadcasting in Courthouse",https://www.sdcourt.ca.gov/sites/default/files/2025-01/general_order_010125-02.pdf,General Order,Judge Maureen F. Hallahan,State,US,California,Superior Court of California - County of San Diego,12/2024,Court Level,"Civil,Criminal",Gen AI,Use,,No,,,,,,No,,,,,No,,,,,"Documenting, Photographing, Recording, Broadcasting Prohibited without Prior Written Judicial Approval",Any Parties,
"Standing Order for Civil
Cases Assigned to Judge
Anne Hwang: E. Filing Requirements 5. Artificial Intelligence",https://www.cacd.uscourts.gov/sites/default/files/documents/AH/AD/AH-CIVIL%20Standing%20Order%20for%20Civil%20Cases.pdf,Standing Order,Judge Anne Hwang,Federal,US,California,US DC Central District of California,12/2024,Judge Level,Civil,Gen AI,Generate Content,,Yes,,,,,,No,,,checked,,FRCP 11,,,,,,Any Parties,
"Civil Rules: 7.1 Motion Practice: (d) Word Limits, Generative AI, and Certificate of Compliance: (3) Generative Artificial Intelligence",https://www.ned.uscourts.gov/internetDocs/localrules/NECivR.2024.pdf,Local Rules,,Federal,US,Nebraska,US DC District of Nebraska,12/2024,Court Level,Civil,Gen AI,Draft,,No,,,,,,No,,,,checked,FRCP 11,,,,,,Any Parties,"""All parties are expected, if using generative artificial
intelligence programs, to verify the contents of their filings."""
Soehlig v. Experian: Case Management & Scheduling Order,https://drive.google.com/file/d/18Ng--k7X5WwSjW9TnmG3EZIQMhdusydy/view?usp=sharing,Scheduling Order,Judge Harvey E. Schlesinger,Federal,US,Florida,"US DC Middle District of Florida, Jacksonville Division",12/2024,Case Level,Civil,Any AI,Rely On,,No,,,,,,No,,,,checked,FRCP 11,,,,,,"Attorneys,Pro Se Litigants",
Illinois Supreme Court Policy on Artificial Intelligence,https://www.lawnext.com/wp-content/uploads/2024/12/Illinois-Supreme-Court-AI-Policy.pdf,Policy/Guidelines,-,State,US,Illinois,Illinois Supreme Court,01/2025,State Level,"Civil,Criminal",Any AI,Use,,No,,,,,,No,,,,checked,No,,,,,,Any Parties,"User of AI must review AI-generated content for accuracy and compliance and ""understand both general AI capabilities and the specific tools
being utilized."""
Pretrial Schedule A: I. General Instructions: E. Use of Artificial Intelligence,https://drive.google.com/file/d/18Ng--k7X5WwSjW9TnmG3EZIQMhdusydy/view?usp=sharing,Scheduling Order,Judge Robert E. Payne,Federal,US,Virginia,"US DC Eastern District of Virginia, Richmond Division",01/2025,Case Level,Civil,"Any AI, excluding standard research tools",Research,checked,No,,,,,,No,,,,,No,,,,,,"Attorneys,Pro Se Litigants",
Guidelines for the Use of Generative AI in the Practice of Law,https://lawsociety.nt.ca/wp-content/uploads/2025/02/LSNT-Guidelines-for-the-Use-of-Generative-AI-in-the-Practice-of-Law-FINAL.pdf,Policy/Guidelines,-,State,Canada,,Law Society of the Northwest Territories,01/2025,State Level,,Gen AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,"""Lawyers must uphold the standards of professional responsibility, ensuring compliance with the Code of Professional Conduct while embracing new technologies. This includes safeguarding confidentiality, maintaining competence, ensuring fairness in billing, addressing biases, and verifying the accuracy of AI-generated content. """
Standing Order - Calendar 60,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/Chancery%20-%20Calendar%2060%20-%20Judge%20Seaton%20-%20Standing%20Order%20%28eff.%20Feb.%2019%2C%202025%29.pdf?VersionId=Ibr6OItJ.1LuHyim4q4ICmAdsXbtUt4g,Standing Order,Judge Debra A. Seaton,State,US,Illinois,"Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section",02/2025,Judge Level,Civil,Any AI,Use,,No,,,,,,No,,,,checked,"Ill. Sup. Ct. R 2.7,Ill. Sup. Ct. R 1.2, Ill. Sup. Ct. R. 137",,,,,,"Attorneys,Pro Se Litigants",
"Guidelines to Parties and Counsel in Civil Cases Proceeding
Before the Honorable Tiffany R. Johnson:  3. Pretrial Case Management: A. Disclosure of Use of Artificial Intelligence (AI)",https://www.gand.uscourts.gov/sites/gand/files/TRJ_CVStandingOrder.pdf,Standing Order,Judge Tiffany R. Johnson,Federal,US,Georgia,"US DC Northern District of Georgia, Atlanta Division",02/2025,Judge Level,Civil,Any AI,"Use,Prepare,Generate Content",,Yes,checked,,,,,,,,checked,,FRCP 11,,,,,,"Attorneys,Pro Se Litigants",
IAS Rules: Artificial Intelligence,https://www.nycourts.gov/LegacyPDFS/courts/8jd/pdfs/IAS_Rules/JudgeNorris2025.pdf,Standing Order,Judge Michael J. Norris,State,US,New York,"8th Judicial District, Supreme Court, Niagra County",03/2025,Judge Level,Civil,Gen AI,Prepare,,Yes,checked,,checked,,,No,,,checked,,No,,,,,,Any Parties,
"Re: Interim Policy on the Use of Generative Artificial
Intelligence",https://www.sccourts.org/media/5vchofu5/order-re-interim-policy-on-genai.pdf,Policy/Guidelines,-,State,US,South Carolina,Supreme Court of South Carolina,03/2025,State Level,"Civil,Criminal",Gen AI,Use,,No,,,,,,No,,,,checked,""" Rule 407, SCACR""",,,,,,"Attorneys,Pro Se Litigants","""Lawyers in particular must ensure that the use Generative AI does not
compromise client confidentiality or otherwise violate the South Carolina
Rules of Professional Conduct, Rule 407, SCACR."""
In re: Use of Generative Artificial Intelligence in Court Filings: General Order 2025-04,https://www.txs.uscourts.gov/sites/txs/files/general-orders/General_Order_2025-04_Use_of_Generative_AI_in_Court_Filings.pdf,General Order,Chief Judge Randy Crane,Federal,US,Texas,US DC Southern District of Texas,05/2025,Court Level,Civil,Gen AI,Draft,,No,,,,,,,,,,checked,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",
